азартный|азартное|азартная|азартные
металлургический|металлургическое|металлургическая|металлургические
экспертный|экспертное|экспертная|экспертные
дружеский|дружеское|дружеская|дружеские
импортный|импортное|импортная|импортные
предельный|предельное|предельная|предельные
солдатский|солдатское|солдатская|солдатские
неизменный|неизменное|неизменная|неизменные
акционерный|акционерное|акционерная|акционерные
наружный|наружное|наружная|наружные
вертикальный|вертикальное|вертикальная|вертикальные
женатый|женатое|женатая|женатые
субъективный|субъективное|субъективная|субъективные
молчаливый|молчаливое|молчаливая|молчаливые
отвратительный|отвратительное|отвратительная|отвратительные
пищевой|пищевое|пищевая|пищевые
неподвижный|неподвижное|неподвижная|неподвижные
трезвый|трезвое|трезвая|трезвые
здравый|здравое|здравая|здравые
парижский|парижское|парижская|парижские
разноцветный|разноцветное|разноцветная|разноцветные
умственный|умственное|умственная|умственные
немыслимый|немыслимое|немыслимая|немыслимые
названый|названое|названая|названые
промежуточный|промежуточное|промежуточная|промежуточные
отдаленный|отдалённое|отдалённая|отдалённые
колоссальный|колоссальное|колоссальная|колоссальные
долгосрочный|долгосрочное|долгосрочная|долгосрочные
ориентированный|ориентированное|ориентированная|ориентированные
резиновый|резиновое|резиновая|резиновые
индийский|индийское|индийская|индийские
трудящийся|трудящееся|трудящаяся|трудящиеся
зенитный|зенитное|зенитная|зенитные
газетный|газетное|газетная|газетные
неопределенный|неопределённое|неопределённая|неопределённые
киевский|киевское|киевская|киевские
возрастной|возрастное|возрастная|возрастные
питерский|питерское|питерская|питерские
тюремный|тюремное|тюремная|тюремные
заслуженный|заслуженное|заслуженная|заслуженные
честной|честное|честная|честные
смутный|смутное|смутная|смутные
алый|алое|алая|алые
пограничный|пограничное|пограничная|пограничные
вероятный|вероятное|вероятная|вероятные
проектный|проектное|проектная|проектные
пыльный|пыльное|пыльная|пыльные
новогодний|новогоднее|новогодняя|новогодние
личный|личное|личная|личные
непривычный|непривычное|непривычная|непривычные
ежегодный|ежегодное|ежегодная|ежегодные
офицерский|офицерское|офицерская|офицерские
растительный|растительное|растительная|растительные
санитарный|санитарное|санитарная|санитарные
запасной|запасное|запасная|запасные
командный|командное|командная|командные
вторичный|вторичное|вторичная|вторичные
символический|символическое|символическая|символические
порядочный|порядочное|порядочная|порядочные
прогрессивный|прогрессивное|прогрессивная|прогрессивные
грамотный|грамотное|грамотная|грамотные
капитальный|капитальное|капитальная|капитальные
слышный|слышное|слышная|слышные
предметный|предметное|предметная|предметные
желающий|желающее|желающая|желающие
принудительный|принудительное|принудительная|принудительные
трогательный|трогательное|трогательная|трогательные
подозрительный|подозрительное|подозрительная|подозрительные
последовательный|последовательное|последовательная|последовательные
грузовой|грузовое|грузовая|грузовые
населенный|населённое|населённая|населённые
лекарственный|лекарственное|лекарственная|лекарственные
гибкий|гибкое|гибкая|гибкие
показательный|показательное|показательная|показательные
персональный|персональное|персональная|персональные
добровольный|добровольное|добровольная|добровольные
научно-технический|нау̀чно-техническое|нау̀чно-техническая|нау̀чно-технические
огненный|огненное|огненная|огненные
социологический|социологическое|социологическая|социологические
легендарный|легендарное|легендарная|легендарные
принятый|принятое|принятая|принятые
уполномоченный|уполномоченное|уполномоченная|уполномоченные
виртуальный|виртуальное|виртуальная|виртуальные
террористический|террористическое|террористическая|террористические
крошечный|крошечное|крошечная|крошечные
параллельный|параллельное|параллельная|параллельные
абстрактный|абстрактное|абстрактная|абстрактные
удивленный|удивлённое|удивлённая|удивлённые
интимный|интимное|интимная|интимные
методический|методическое|методическая|методические
провинциальный|провинциальное|провинциальная|провинциальные
тепловой|тепловое|тепловая|тепловые
целесообразный|целесообразное|целесообразная|целесообразные
благополучный|благополучное|благополучная|благополучные
буржуазный|буржуазное|буржуазная|буржуазные
нехороший|нехорошее|нехорошая|нехорошие
чувствительный|чувствительное|чувствительная|чувствительные
влюбленный|влюблённое|влюблённая|влюблённые
футбольный|футбольное|футбольная|футбольные
хрупкий|хрупкое|хрупкая|хрупкие
алюминиевый|алюминиевое|алюминиевая|алюминиевые
лунный|лунное|лунная|лунные
лучший|лучшее|лучшая|лучшие
государственный|государственное|государственная|государственные
настоящий|настоящее|настоящая|настоящие
собственный|собственное|собственная|собственные
подобный|подобное|подобная|подобные
следующий|следующее|следующая|следующие
равный|равное|равная|равные
известный|известное|известная|известные
огромный|огромное|огромная|огромные
готовый|готовое|готовая|готовые
современный|современное|современная|современные
социальный|социальное|социальная|социальные
ранний|раннее|ранняя|ранние
особый|особое|особая|особые
скорый|скорое|скорая|скорые
внутренний|внутреннее|внутренняя|внутренние
федеральный|федеральное|федеральная|федеральные
похожий|похожее|похожая|похожие
различный|различное|различная|различные
единственный|единственное|единственная|единственные
небольшой|небольшое|небольшая|небольшие
американский|американское|американская|американские
возможный|возможное|возможная|возможные
отдельный|отдельное|отдельная|отдельные
красивый|красивое|красивая|красивые
серьезный|серьёзное|серьёзная|серьёзные
интересный|интересное|интересная|интересные
страшный|страшное|страшная|страшные
общественный|общественное|общественная|общественные
детский|детское|детская|детские
определенный|определённое|определённая|определённые
низкий|низкое|низкая|низкие
странный|странное|странная|странные
специальный|специальное|специальная|специальные
научный|научное|научная|научные
способный|способное|способная|способные
старший|старшее|старшая|старшие
обычный|обычное|обычная|обычные
прекрасный|прекрасное|прекрасная|прекрасные
высший|высшее|высшая|высшие
гражданский|гражданское|гражданская|гражданские
внешний|внешнее|внешняя|внешние
боевой|боевое|боевая|боевые
финансовый|финансовое|финансовая|финансовые
знакомый|знакомое|знакомая|знакомые
исторический|историческое|историческая|исторические
народный|народное|народная|народные
больший|большее|большая|большие
очередной|очередное|очередная|очередные
судебный|судебное|судебная|судебные
соответствующий|соответствующее|соответствующая|соответствующие
любимый|любимое|любимая|любимые
быстрый|быстрое|быстрая|быстрые
иностранный|иностранное|иностранная|иностранные
счастливый|счастливое|счастливая|счастливые
точный|точное|точная|точные
значительный|значительное|значительная|значительные
уверенный|уверенное|уверенная|уверенные
центральный|центральное|центральная|центральные
частный|частное|частная|частные
мелкий|мелкое|мелкая|мелкие
постоянный|постоянное|постоянная|постоянные
европейский|европейское|европейская|европейские
ближайший|ближайшее|ближайшая|ближайшие
отечественный|отечественное|отечественная|отечественные
прежний|прежнее|прежняя|прежние
французский|французское|французская|французские
женский|женское|женская|женские
дальнейший|дальнейшее|дальнейшая|дальнейшие
естественный|естественное|естественная|естественные
информационный|информационное|информационная|информационные
официальный|официальное|официальная|официальные
слабый|слабое|слабая|слабые
летний|летнее|летняя|летние
дополнительный|дополнительное|дополнительная|дополнительные
умный|умное|умная|умные
редкий|редкое|редкая|редкие
административный|административное|административная|административные
массовый|массовое|массовая|массовые
региональный|региональное|региональная|региональные
активный|активное|активная|активные
богатый|богатое|богатая|богатые
правовой|правовое|правовая|правовые
важнейший|важнейшее|важнейшая|важнейшие
половой|половое|половая|половые
наибольший|наибольшее|наибольшая|наибольшие
подводный|подводное|подводная|подводные
установленный|установленное|установленная|установленные
социально-экономический|социально-экономическое|социально-экономическая|социально-экономические
лошадиный|лошадиное|лошадиная|лошадиные
величайший|величайшее|величайшая|величайшие
латинский|латинское|латинская|латинские
недоступный|недоступное|недоступная|недоступные
зрительный|зрительное|зрительная|зрительные
ветхий|ветхое|ветхая|ветхие
молоденький|молоденькое|молоденькая|молоденькие
послевоенный|послевоенное|послевоенная|послевоенные
сказочный|сказочное|сказочная|сказочные
столовый|столовое|столовая|столовые
заданный|заданное|заданная|заданные
материнский|материнское|материнская|материнские
ежедневный|ежедневное|ежедневная|ежедневные
пустынный|пустынное|пустынная|пустынные
бронзовый|бронзовое|бронзовая|бронзовые
заводской|заводское|заводская|заводские
родительский|родительское|родительская|родительские
убедительный|убедительное|убедительная|убедительные
кирпичный|кирпичное|кирпичная|кирпичные
тоненький|тоненькое|тоненькая|тоненькие
сытый|сытое|сытая|сытые
